Name n time comparisons vec_access
binarytree 314       0.000293 2743 628
binarytree 315       0.000295 2744 630
binarytree 316       0.000296 2766 632
binarytree 317       0.000296 2773 634
binarytree 318       0.000298 2775 636
binarytree 319       0.000298 2784 638
binarytree 320       0.000300 2788 640
binarytree 321       0.000301 2814 642
binarytree 322       0.000302 2851 644
binarytree 323       0.000302 2824 646
binarytree 324       0.000301 2830 648
binarytree 325       0.000302 2851 650
binarytree 326       0.000310 2881 652
binarytree 327       0.000307 2866 654
binarytree 328       0.000308 2924 656
binarytree 329       0.000311 2920 658
binarytree 330       0.000306 2851 660
binarytree 331       0.000311 2886 662
binarytree 332       0.000311 2941 664
binarytree 333       0.000311 2955 666
binarytree 334       0.000311 2950 668
binarytree 335       0.000309 2931 670
binarytree 336       0.000317 2952 672
binarytree 337       0.000315 2982 674
binarytree 338       0.000318 2995 676
binarytree 339       0.000316 2990 678
binarytree 340       0.000316 3015 680
binarytree 341       0.000318 3016 682
binarytree 342       0.000323 3038 684
binarytree 343       0.000324 3066 686
binarytree 344       0.000323 3079 688
binarytree 345       0.000323 3063 690
binarytree 346       0.000323 3085 692
binarytree 347       0.000325 3075 694
binarytree 348       0.000324 3123 696
binarytree 349       0.000328 3142 698
binarytree 350       0.000329 3136 700
binarytree 351       0.000328 3113 702
binarytree 352       0.000330 3139 704
binarytree 353       0.000331 3164 706
binarytree 354       0.000331 3133 708
binarytree 355       0.000333 3170 710
binarytree 356       0.000331 3182 712
binarytree 357       0.000333 3166 714
binarytree 358       0.000331 3183 716
binarytree 359       0.000338 3227 718
binarytree 360       0.000336 3238 720
binarytree 361       0.000336 3241 722
binarytree 362       0.000342 3249 724
binarytree 363       0.000343 3293 726
binarytree 364       0.000337 3259 728
binarytree 365       0.000337 3260 730
binarytree 366       0.000340 3305 732
binarytree 367       0.000343 3307 734
binarytree 368       0.000347 3315 736
binarytree 369       0.000342 3279 738
binarytree 370       0.000350 3317 740
binarytree 371       0.000347 3332 742
binarytree 372       0.000348 3363 744
binarytree 373       0.000348 3357 746
binarytree 374       0.000346 3391 748
binarytree 375       0.000349 3383 750
binarytree 376       0.000352 3438 752
binarytree 377       0.000352 3379 754
binarytree 378       0.000353 3407 756
binarytree 379       0.000356 3472 758
binarytree 380       0.000351 3430 760
binarytree 381       0.000354 3436 762
binarytree 382       0.000353 3436 764
binarytree 383       0.000360 3495 766
binarytree 384       0.000362 3483 768
binarytree 385       0.000359 3515 770
binarytree 386       0.000364 3537 772
binarytree 387       0.000365 3533 774
binarytree 388       0.000361 3511 776
binarytree 389       0.000365 3574 778
binarytree 390       0.000362 3534 780
binarytree 391       0.000367 3581 782
binarytree 392       0.000366 3537 784
binarytree 393       0.000367 3592 786
binarytree 394       0.000369 3637 788
binarytree 395       0.000365 3558 790
binarytree 396       0.000368 3644 792
binarytree 397       0.000373 3613 794
binarytree 398       0.000366 3629 796
binarytree 399       0.000370 3647 798
binarytree 400       0.000376 3663 800
binarytree 401       0.000375 3657 802
binarytree 402       0.000379 3715 804
binarytree 403       0.000377 3723 806
binarytree 404       0.000380 3727 808
binarytree 405       0.000384 3720 810
binarytree 406       0.000381 3746 812
binarytree 407       0.000379 3728 814
binarytree 408       0.000380 3745 816
binarytree 409       0.000380 3770 818
binarytree 410       0.000382 3763 820
binarytree 411       0.000380 3755 822
binarytree 412       0.000384 3807 824
binarytree 413       0.000387 3819 826
binarytree 414       0.000388 3863 828
binarytree 415       0.000389 3805 830
binarytree 416       0.000390 3856 832
binarytree 417       0.000387 3860 834
binarytree 418       0.000394 3834 836
binarytree 419       0.000391 3845 838
binarytree 420       0.000396 3913 840
binarytree 421       0.000397 3905 842
binarytree 422       0.000396 3920 844
binarytree 423       0.000396 3907 846
binarytree 424       0.000395 3921 848
binarytree 425       0.000401 3980 850
binarytree 426       0.000398 3922 852
binarytree 427       0.000399 3974 854
binarytree 428       0.000403 3961 856
binarytree 429       0.000402 4005 858
binarytree 430       0.000400 3978 860
binarytree 431       0.000407 4012 862
binarytree 432       0.000408 4008 864
binarytree 433       0.000410 4045 866
binarytree 434       0.000405 4016 868
binarytree 435       0.000402 4036 870
binarytree 436       0.000412 4055 872
binarytree 437       0.000411 4113 874
binarytree 438       0.000410 4131 876
binarytree 439       0.000408 4106 878
binarytree 440       0.000412 4133 880
binarytree 441       0.000409 4128 882
binarytree 442       0.000414 4123 884
binarytree 443       0.000413 4170 886
binarytree 444       0.000416 4174 888
binarytree 445       0.000420 4165 890
binarytree 446       0.000410 4157 892
binarytree 447       0.000418 4176 894
binarytree 448       0.000421 4189 896
binarytree 449       0.000418 4178 898
binarytree 450       0.000425 4239 900
binarytree 451       0.000420 4197 902
binarytree 452       0.000427 4245 904
binarytree 453       0.000419 4221 906
binarytree 454       0.000424 4289 908
binarytree 455       0.000429 4285 910
binarytree 456       0.000427 4292 912
binarytree 457       0.000423 4280 914
binarytree 458       0.000428 4326 916
binarytree 459       0.000427 4292 918
binarytree 460       0.000430 4311 920
binarytree 461       0.000433 4365 922
binarytree 462       0.000438 4403 924
binarytree 463       0.000438 4403 926
binarytree 464       0.000438 4404 928
binarytree 465       0.000436 4401 930
binarytree 466       0.000441 4367 932
binarytree 467       0.000438 4423 934
binarytree 468       0.000442 4432 936
binarytree 469       0.000441 4467 938
binarytree 470       0.000437 4448 940
binarytree 471       0.000444 4475 942
binarytree 472       0.000442 4496 944
binarytree 473       0.000444 4535 946
binarytree 474       0.000444 4461 948
binarytree 475       0.000439 4494 950
binarytree 476       0.000448 4486 952
binarytree 477       0.000448 4537 954
binarytree 478       0.000445 4557 956
binarytree 479       0.000447 4556 958
binarytree 480       0.000445 4572 960
binarytree 481       0.000453 4580 962
binarytree 482       0.000455 4602 964
binarytree 483       0.000453 4577 966
binarytree 484       0.000453 4600 968
binarytree 485       0.000455 4611 970
binarytree 486       0.000452 4686 972
binarytree 487       0.000455 4651 974
binarytree 488       0.000458 4711 976
binarytree 489       0.000456 4661 978
binarytree 490       0.000463 4701 980
binarytree 491       0.000463 4703 982
binarytree 492       0.000467 4773 984
binarytree 493       0.000469 4687 986
binarytree 494       0.000469 4725 988
binarytree 495       0.000471 4744 990
binarytree 496       0.000472 4744 992
binarytree 497       0.000468 4814 994
binarytree 498       0.000467 4776 996
binarytree 499       0.000468 4784 998
binarytree 500       0.000469 4826 1000
binarytree 501       0.000465 4801 1002
binarytree 502       0.000466 4852 1004
binarytree 503       0.000471 4834 1006
binarytree 504       0.000473 4846 1008
binarytree 505       0.000471 4832 1010
binarytree 506       0.000475 4835 1012
binarytree 507       0.000476 4887 1014
binarytree 508       0.000481 4890 1016
binarytree 509       0.000486 4900 1018
binarytree 510       0.000474 4920 1020
binarytree 511       0.000479 4932 1022
binarytree 512       0.000485 4988 1024
binarytree 513       0.000480 4938 1026
binarytree 514       0.000482 4988 1028
binarytree 515       0.000489 4967 1030
binarytree 516       0.000484 4970 1032
binarytree 517       0.000490 5013 1034
binarytree 518       0.000492 5079 1036
binarytree 519       0.000493 5040 1038
binarytree 520       0.000485 5020 1040
binarytree 521       0.000487 5002 1042
binarytree 522       0.000493 5047 1044
binarytree 523       0.000492 5008 1046
binarytree 524       0.000493 5074 1048
binarytree 525       0.000491 5108 1050
binarytree 526       0.000503 5111 1052
binarytree 527       0.000494 5045 1054
binarytree 528       0.000499 5173 1056
binarytree 529       0.000500 5153 1058
binarytree 530       0.000503 5208 1060
binarytree 531       0.000493 5160 1062
binarytree 532       0.000500 5201 1064
binarytree 533       0.000507 5234 1066
binarytree 534       0.000504 5201 1068
binarytree 535       0.000500 5213 1070
binarytree 536       0.000512 5261 1072
binarytree 537       0.000502 5192 1074
binarytree 538       0.000508 5162 1076
binarytree 539       0.000515 5261 1078
binarytree 540       0.000506 5252 1080
binarytree 541       0.000515 5271 1082
binarytree 542       0.000510 5273 1084
binarytree 543       0.000507 5333 1086
binarytree 544       0.000508 5246 1088
binarytree 545       0.000510 5340 1090
binarytree 546       0.000515 5333 1092
binarytree 547       0.000516 5332 1094
binarytree 548       0.000514 5409 1096
binarytree 549       0.000519 5392 1098
binarytree 550       0.000517 5388 1100
binarytree 551       0.000516 5394 1102
binarytree 552       0.000513 5392 1104
binarytree 553       0.000529 5446 1106
binarytree 554       0.000531 5446 1108
binarytree 555       0.000526 5399 1110
binarytree 556       0.000533 5458 1112
binarytree 557       0.000527 5463 1114
binarytree 558       0.000525 5524 1116
binarytree 559       0.000523 5423 1118
binarytree 560       0.000528 5518 1120
binarytree 561       0.000526 5525 1122
binarytree 562       0.000528 5489 1124
binarytree 563       0.000532 5534 1126
binarytree 564       0.000525 5545 1128
binarytree 565       0.000531 5550 1130
binarytree 566       0.000539 5547 1132
binarytree 567       0.000537 5605 1134
binarytree 568       0.000543 5613 1136
binarytree 569       0.000540 5629 1138
binarytree 570       0.000537 5637 1140
binarytree 571       0.000542 5660 1142
binarytree 572       0.000547 5650 1144
binarytree 573       0.000534 5644 1146
binarytree 574       0.000546 5686 1148
binarytree 575       0.000543 5671 1150
binarytree 576       0.000545 5681 1152
binarytree 577       0.000555 5700 1154
binarytree 578       0.000549 5741 1156
binarytree 579       0.000544 5738 1158
binarytree 580       0.000551 5716 1160
binarytree 581       0.000550 5750 1162
binarytree 582       0.000547 5752 1164
binarytree 583       0.000557 5806 1166
binarytree 584       0.000553 5757 1168
binarytree 585       0.000551 5744 1170
binarytree 586       0.000563 5850 1172
binarytree 587       0.000556 5767 1174
binarytree 588       0.000555 5905 1176
binarytree 589       0.000553 5875 1178
binarytree 590       0.000560 5879 1180
binarytree 591       0.000559 5830 1182
binarytree 592       0.000559 5905 1184
binarytree 593       0.000558 5908 1186
binarytree 594       0.000563 5917 1188
binarytree 595       0.000570 6028 1190
binarytree 596       0.000570 5917 1192
binarytree 597       0.000570 5993 1194
binarytree 598       0.000571 5976 1196
binarytree 599       0.000567 5874 1198
binarytree 600       0.000563 5909 1200
binarytree 601       0.000574 5987 1202
binarytree 602       0.000566 5978 1204
binarytree 603       0.000573 5983 1206
binarytree 604       0.000573 6054 1208
binarytree 605       0.000574 6001 1210
binarytree 606       0.000568 6015 1212
binarytree 607       0.000587 6103 1214
binarytree 608       0.000576 6086 1216
binarytree 609       0.000574 6121 1218
binarytree 610       0.000581 6137 1220
binarytree 611       0.000582 6168 1222
binarytree 612       0.000586 6111 1224
binarytree 613       0.000583 6112 1226
binarytree 614       0.000586 6182 1228
binarytree 615       0.000591 6233 1230
binarytree 616       0.000588 6203 1232
binarytree 617       0.000585 6186 1234
binarytree 618       0.000580 6131 1236
binarytree 619       0.000589 6226 1238
binarytree 620       0.000582 6135 1240
binarytree 621       0.000590 6198 1242
binarytree 622       0.000593 6265 1244
binarytree 623       0.000593 6249 1246
binarytree 624       0.000592 6276 1248
binarytree 625       0.000587 6284 1250
binarytree 626       0.000594 6345 1252
binarytree 627       0.000596 6304 1254
binarytree 628       0.000598 6329 1256
binarytree 629       0.000607 6340 1258
binarytree 630       0.000603 6309 1260
binarytree 631       0.000604 6388 1262
binarytree 632       0.000607 6374 1264
binarytree 633       0.000596 6393 1266
binarytree 634       0.000602 6367 1268
binarytree 635       0.000608 6454 1270
binarytree 636       0.000597 6363 1272
binarytree 637       0.000609 6516 1274
binarytree 638       0.000613 6463 1276
binarytree 639       0.000613 6539 1278
binarytree 640       0.000614 6459 1280
binarytree 641       0.000612 6447 1282
binarytree 642       0.000614 6512 1284
binarytree 643       0.000617 6476 1286
binarytree 644       0.000617 6535 1288
binarytree 645       0.000613 6486 1290
binarytree 646       0.000618 6539 1292
binarytree 647       0.000611 6548 1294
binarytree 648       0.000614 6554 1296
binarytree 649       0.000630 6643 1298
binarytree 650       0.000618 6563 1300
binarytree 651       0.000623 6600 1302
binarytree 652       0.000614 6593 1304
binarytree 653       0.000626 6679 1306
binarytree 654       0.000621 6628 1308
binarytree 655       0.000619 6609 1310
binarytree 656       0.000632 6706 1312
binarytree 657       0.000636 6676 1314
binarytree 658       0.000630 6650 1316
binarytree 659       0.000624 6646 1318
binarytree 660       0.000640 6693 1320
binarytree 661       0.000627 6683 1322
binarytree 662       0.000632 6689 1324
binarytree 663       0.000629 6799 1326
binarytree 664       0.000631 6741 1328
binarytree 665       0.000634 6752 1330
binarytree 666       0.000630 6694 1332
binarytree 667       0.000635 6740 1334
binarytree 668       0.000636 6827 1336
binarytree 669       0.000618 6805 1338
binarytree 670       0.000649 6869 1340
binarytree 671       0.000646 6857 1342
binarytree 672       0.000639 6887 1344
binarytree 673       0.000645 6913 1346
binarytree 674       0.000642 6906 1348
binarytree 675       0.000650 6908 1350
binarytree 676       0.000641 6974 1352
binarytree 677       0.000647 6909 1354
binarytree 678       0.000649 6909 1356
binarytree 679       0.000649 6956 1358
binarytree 680       0.000650 6937 1360
binarytree 681       0.000643 6913 1362
binarytree 682       0.000660 6979 1364
binarytree 683       0.000650 6971 1366
binarytree 684       0.000655 6949 1368
binarytree 685       0.000655 7008 1370
binarytree 686       0.000658 7098 1372
binarytree 687       0.000659 7036 1374
binarytree 688       0.000664 7070 1376
binarytree 689       0.000668 7058 1378
binarytree 690       0.000661 7039 1380
binarytree 691       0.000659 7032 1382
binarytree 692       0.000662 7115 1384
binarytree 693       0.000663 7060 1386
binarytree 694       0.000659 7157 1388
binarytree 695       0.000661 7084 1390
binarytree 696       0.000673 7128 1392
binarytree 697       0.000662 7151 1394
binarytree 698       0.000661 7104 1396
binarytree 699       0.000686 7151 1398
binarytree 700       0.000633 7200 1400
binarytree 701       0.000660 7206 1402
binarytree 702       0.000655 7201 1404
binarytree 703       0.000670 7154 1406
binarytree 704       0.000677 7212 1408
binarytree 705       0.000679 7258 1410
binarytree 706       0.000685 7326 1412
binarytree 707       0.000681 7295 1414
binarytree 708       0.000681 7299 1416
binarytree 709       0.000680 7289 1418
binarytree 710       0.000685 7315 1420
binarytree 711       0.000672 7323 1422
binarytree 712       0.000679 7404 1424
binarytree 713       0.000687 7333 1426
binarytree 714       0.000674 7374 1428
binarytree 715       0.000688 7380 1430
binarytree 716       0.000682 7323 1432
binarytree 717       0.000681 7377 1434
binarytree 718       0.000696 7425 1436
binarytree 719       0.000690 7415 1438
binarytree 720       0.000702 7457 1440
binarytree 721       0.000693 7378 1442
binarytree 722       0.000690 7460 1444
binarytree 723       0.000693 7484 1446
binarytree 724       0.000695 7608 1448
binarytree 725       0.000696 7539 1450
binarytree 726       0.000695 7487 1452
binarytree 727       0.000693 7492 1454
binarytree 728       0.000698 7450 1456
binarytree 729       0.000704 7540 1458
binarytree 730       0.000702 7527 1460
binarytree 731       0.000698 7569 1462
binarytree 732       0.000715 7650 1464
binarytree 733       0.000705 7640 1466
binarytree 734       0.000722 7666 1468
binarytree 735       0.000661 7652 1470
binarytree 736       0.000720 7688 1472
binarytree 737       0.000704 7672 1474
binarytree 738       0.000705 7650 1476
binarytree 739       0.000718 7712 1478
binarytree 740       0.000712 7669 1480
binarytree 741       0.000709 7763 1482
binarytree 742       0.000716 7720 1484
binarytree 743       0.000714 7747 1486
binarytree 744       0.000713 7769 1488
binarytree 745       0.000724 7731 1490
binarytree 746       0.000706 7834 1492
binarytree 747       0.000722 7778 1494
binarytree 748       0.000720 7762 1496
binarytree 749       0.000728 7738 1498
binarytree 750       0.000722 7793 1500
binarytree 751       0.000736 7817 1502
binarytree 752       0.000727 7842 1504
binarytree 753       0.000731 7891 1506
binarytree 754       0.000742 7875 1508
binarytree 755       0.000722 7855 1510
binarytree 756       0.000731 7963 1512
binarytree 757       0.000725 7906 1514
binarytree 758       0.000727 7883 1516
binarytree 759       0.000730 7906 1518
binarytree 760       0.000730 7949 1520
binarytree 761       0.000727 7914 1522
binarytree 762       0.000743 7907 1524
binarytree 763       0.000730 7937 1526
binarytree 764       0.000744 7979 1528
binarytree 765       0.000761 7999 1530
binarytree 766       0.000743 8034 1532
binarytree 767       0.000741 7967 1534
binarytree 768       0.000750 7985 1536
binarytree 769       0.000744 8003 1538
binarytree 770       0.000740 8092 1540
binarytree 771       0.000744 8044 1542
binarytree 772       0.000760 8081 1544
binarytree 773       0.000749 8074 1546
binarytree 774       0.000742 8087 1548
binarytree 775       0.000745 8114 1550
binarytree 776       0.000743 8164 1552
binarytree 777       0.000753 8111 1554
binarytree 778       0.000757 8210 1556
binarytree 779       0.000758 8168 1558
binarytree 780       0.000758 8156 1560
binarytree 781       0.000752 8228 1562
binarytree 782       0.000755 8245 1564
binarytree 783       0.000760 8283 1566
binarytree 784       0.000763 8241 1568
binarytree 785       0.000714 8259 1570
binarytree 786       0.000755 8322 1572
binarytree 787       0.000748 8171 1574
binarytree 788       0.000763 8243 1576
binarytree 789       0.000763 8362 1578
binarytree 790       0.000762 8344 1580
binarytree 791       0.000764 8321 1582
binarytree 792       0.000770 8365 1584
binarytree 793       0.000763 8258 1586
binarytree 794       0.000775 8348 1588
binarytree 795       0.000779 8388 1590
binarytree 796       0.000766 8421 1592
binarytree 797       0.000774 8453 1594
binarytree 798       0.000768 8388 1596
binarytree 799       0.000770 8493 1598
binarytree 800       0.000772 8398 1600
binarytree 801       0.000769 8301 1602
binarytree 802       0.000811 8549 1604
binarytree 803       0.000739 8499 1606
binarytree 804       0.000753 8516 1608
binarytree 805       0.000769 8491 1610
binarytree 806       0.000787 8548 1612
binarytree 807       0.000776 8439 1614
binarytree 808       0.000771 8591 1616
binarytree 809       0.000794 8527 1618
binarytree 810       0.000787 8510 1620
binarytree 811       0.000783 8552 1622
